feature,split_importance,gain_importance
src_ip_bytes,22383,1952212.5840043135
conn_state,9567,1015356.2319456738
src_bytes,11292,840652.8444377828
src_pkts,8492,669423.2180873805
duration,38502,562676.0944951767
dst_ip_bytes,14066,462409.9190690169
dst_bytes,11529,396968.44241515145
dst_pkts,6479,275899.5816962403
dns_RA,667,138153.34375502227
dns_query,10129,128098.81049814637
service,2391,118693.4494775315
dns_rejected,541,106445.48368227188
proto,2199,104051.31878625033
dns_AA,470,48822.20292493459
dns_rcode,952,35367.77515366253
dns_RD,501,9279.684097586527
missed_bytes,933,6629.67101643331
dns_qtype,1413,5656.24786176101
http_status_code,250,2719.4384233257733
dns_qclass,134,1299.982851617504
http_response_body_len,55,530.0800753254443
http_request_body_len,0,0.0
