feature,mean_classwise_cpf,max_classwise_cpf,positive_class_count,rank
src_ip_bytes,0.2688470086811835,0.7852604986130146,10,1
conn_state,0.1639462327977874,0.49164392319327643,10,2
src_bytes,0.07292678134278952,0.3081944261653611,10,3
src_pkts,0.04548083368914038,0.10616394782654186,10,4
duration,0.04451699648532916,0.13203582889326043,10,5
proto,0.02285898360213126,0.09072423972275465,9,6
dst_ip_bytes,0.019414270448126256,0.09988447678665754,8,7
dns_query,0.013212235398289668,0.06480645752134066,10,8
dst_bytes,0.009288706385844343,0.034844481790101,9,9
dst_pkts,0.004429082997618112,0.016039376772276116,9,10
service,0.0015204328690353618,0.011475979405252112,8,11
missed_bytes,0.001318503015408954,0.011440950004939499,7,12
dns_rcode,0.0008093575988498047,0.004563704408883607,8,13
dns_RA,0.0005899883268954142,0.003691207529997054,5,14
dns_AA,0.0005373734358943749,0.0032518098268898175,6,15
http_status_code,0.00012036288948929163,0.00035579579485611745,6,16
dns_RD,2.9620814631434742e-05,0.001472405300578461,5,17
http_request_body_len,0.0,0.0,0,18
http_response_body_len,0.0,0.0,0,19
dns_qclass,-0.00019381240630948816,0.00013631718842295194,3,20
dns_qtype,-0.0002626996141344096,0.0007513083475901627,4,21
dns_rejected,-0.0005369212522501887,0.0003889795760634751,4,22
