class_id,class_name,feature,mean_abs_shap,rank_shap,class_samples
0,backdoor,src_ip_bytes,14.512637755737467,1,284
0,backdoor,conn_state,3.4660354622834957,2,284
0,backdoor,duration,2.0987790396952337,3,284
0,backdoor,dst_pkts,1.9126518662153318,4,284
0,backdoor,dst_ip_bytes,1.0807582621471066,5,284
0,backdoor,service,0.9385774747741615,6,284
0,backdoor,src_bytes,0.240884298815841,7,284
0,backdoor,src_pkts,0.23241221023911326,8,284
0,backdoor,dns_AA,0.18948157852466524,9,284
0,backdoor,dst_bytes,0.14619975414162645,10,284
0,backdoor,dns_RD,0.08468591788325949,11,284
0,backdoor,dns_RA,0.03973555866487459,12,284
0,backdoor,proto,0.00813382048182683,13,284
0,backdoor,missed_bytes,0.0021567152302290355,14,284
0,backdoor,dns_qclass,0.0012752437866483416,15,284
0,backdoor,dns_qtype,9.810849349736541e-05,16,284
0,backdoor,dns_query,7.050313430679629e-05,17,284
0,backdoor,dns_rejected,1.304144422021508e-10,18,284
0,backdoor,dns_rcode,0.0,19,284
0,backdoor,http_request_body_len,0.0,20,284
0,backdoor,http_response_body_len,0.0,21,284
0,backdoor,http_status_code,0.0,22,284
1,ddos,dst_ip_bytes,2.6468217254559976,1,285
1,ddos,conn_state,1.7433161453783832,2,285
1,ddos,dst_bytes,1.5646211972825297,3,285
1,ddos,src_ip_bytes,1.3283457356328325,4,285
1,ddos,dns_rcode,1.2402494873354597,5,285
1,ddos,duration,1.0133599007992917,6,285
1,ddos,dns_query,0.8511649192438546,7,285
1,ddos,src_bytes,0.3987377473529561,8,285
1,ddos,src_pkts,0.25558729091612087,9,285
1,ddos,dns_rejected,0.14021410212690666,10,285
1,ddos,dst_pkts,0.12651417653977287,11,285
1,ddos,service,0.11217652869932987,12,285
1,ddos,proto,0.0974041077319633,13,285
1,ddos,dns_RD,0.08524189362848586,14,285
1,ddos,dns_qtype,0.07546234918061816,15,285
1,ddos,dns_RA,0.026415881753253233,16,285
1,ddos,dns_AA,0.0257395215777062,17,285
1,ddos,dns_qclass,0.010021759762485958,18,285
1,ddos,missed_bytes,0.00580597697850214,19,285
1,ddos,http_request_body_len,0.0,20,285
1,ddos,http_response_body_len,0.0,21,285
1,ddos,http_status_code,0.0,22,285
2,dos,src_ip_bytes,5.201698841251466,1,284
2,dos,conn_state,3.956171738171384,2,284
2,dos,src_pkts,2.0062341075336247,3,284
2,dos,duration,1.8339186792639068,4,284
2,dos,src_bytes,1.2698065902491662,5,284
2,dos,dns_query,0.2388939225289981,6,284
2,dos,dst_ip_bytes,0.2139453300528916,7,284
2,dos,dst_bytes,0.12716165481346256,8,284
2,dos,dst_pkts,0.1178580179480873,9,284
2,dos,dns_AA,0.0624680850724102,10,284
2,dos,dns_RD,0.03919000648903083,11,284
2,dos,service,0.03661658111837299,12,284
2,dos,dns_RA,0.03190821468666129,13,284
2,dos,dns_qclass,0.028432904411535828,14,284
2,dos,dns_rejected,0.020148883116938087,15,284
2,dos,dns_qtype,0.017728321213256053,16,284
2,dos,dns_rcode,0.01455484630475773,17,284
2,dos,proto,0.007232318323927082,18,284
2,dos,missed_bytes,0.0038466974107664253,19,284
2,dos,http_status_code,3.508154932330506e-05,20,284
2,dos,http_request_body_len,0.0,21,284
2,dos,http_response_body_len,0.0,22,284
3,injection,src_bytes,4.195811008753077,1,284
3,injection,dst_bytes,2.5178691466024152,2,284
3,injection,duration,1.4552116011517262,3,284
3,injection,dst_ip_bytes,1.4176326052841355,4,284
3,injection,conn_state,1.364373386825667,5,284
3,injection,src_ip_bytes,0.8509850269329426,6,284
3,injection,dst_pkts,0.38623403769171577,7,284
3,injection,dns_query,0.33283404489800517,8,284
3,injection,src_pkts,0.30701896962416036,9,284
3,injection,service,0.0879985881479759,10,284
