feature,mean_abs_shap,rank
src_ip_bytes,1.383316289905799,1
conn_state,1.1045092955455473,2
duration,0.9275914586581518,3
src_pkts,0.5343538233990887,4
src_bytes,0.5300519024929491,5
dst_ip_bytes,0.47696296263803334,6
dns_query,0.3875515415665177,7
dst_pkts,0.31031237641231335,8
dst_bytes,0.29027040991103553,9
proto,0.21297108228612546,10
dns_RA,0.10999416541059544,11
service,0.10967000810315074,12
dns_qtype,0.07683371290637439,13
dns_RD,0.0669323720742055,14
dns_AA,0.05564766024838844,15
dns_rcode,0.055212365635307965,16
dns_rejected,0.04030917982375392,17
missed_bytes,0.010777296745473825,18
dns_qclass,0.009512840106892262,19
http_status_code,0.0018990754702135307,20
http_response_body_len,0.00024906522747084167,21
http_request_body_len,0.0,22
