feature,mean_classwise_cpf,max_classwise_cpf,positive_class_count,rank
src_ip_bytes,0.27117612562975857,0.7896133271113469,10,1
conn_state,0.17001245464990852,0.4974085793740602,10,2
src_bytes,0.0702940016585183,0.3247769234683712,10,3
duration,0.04783142402815147,0.1361273904701832,10,4
src_pkts,0.03874211595339203,0.10820404078456927,10,5
dst_ip_bytes,0.03669677716851909,0.12187900543495903,9,6
proto,0.02499234399330445,0.08646981474175175,9,7
dns_query,0.019707766416431714,0.060564964565212764,9,8
dst_bytes,0.015057731604653521,0.08254343486353018,9,9
dst_pkts,0.004755580577920726,0.019079391843381456,9,10
service,0.003451925535067855,0.03128567681391892,8,11
dns_rcode,0.0002780034082999739,0.002091644674219917,6,12
dns_AA,5.930185156236111e-05,0.000477907751907547,6,13
dns_RD,2.4433540312092114e-05,0.0004362315478841916,6,14
