feature,mean_abs_shap,rank_shap,cpf_importance_mean,rank_cpf,class_id,class_name,shap_top_k,cpf_top_k,strict_intersection,shap_normalized,cpf_normalized,consensus_score
proto,0.019193070891484865,12,0.0,8,0,backdoor,False,False,False,0.0013727937467941935,0.0,0.0006863968733970968
service,0.8028124573821643,6,0.0005363078321577008,4,0,backdoor,True,True,True,0.0574215521619142,0.0008572163329768204,0.02913938424744551
duration,1.9987840990342016,3,7.149237656061125e-05,6,0,backdoor,True,True,True,0.14296400653441946,0.0001142710010863025,0.07153913876775288
src_bytes,0.2704257430393564,8,0.0020773865216463737,3,0,backdoor,True,True,True,0.019342333028181773,0.003320424482888296,0.011331378755535033
dst_bytes,0.1058963649716751,10,0.0002146942034944921,5,0,backdoor,True,True,True,0.007574289099606637,0.0003431599667125711,0.0039587245331596035
conn_state,4.228938344821266,2,0.009289409357473221,2,0,backdoor,True,True,True,0.30247687554389496,0.014847878303205974,0.15866237692355048
src_pkts,0.4623582764881369,7,3.568239682172347e-05,7,0,backdoor,True,True,True,0.033070400996802134,5.7033538429375976e-05,0.016563717267615755
src_ip_bytes,13.981030243112151,1,0.6256388399592041,1,0,backdoor,True,True,True,1.0,1.0,1.0
dst_pkts,1.921819063671133,4,-0.00014283160986554576,13,0,backdoor,True,False,False,0.13745904488104016,0.0,0.06872952244052008
dst_ip_bytes,0.9785532770864386,5,-0.00017853951233193222,14,0,backdoor,True,False,False,0.06999149991600435,0.0,0.03499574995800218
dns_query,0.00046193686578255473,13,0.0,9,0,backdoor,False,False,False,3.3040259390764926e-05,0.0,1.6520129695382463e-05
dns_rcode,5.24130448508332e-06,14,0.0,10,0,backdoor,False,False,False,3.7488685697289613e-07,0.0,1.8744342848644807e-07
dns_AA,0.12150687760271071,9,0.0,11,0,backdoor,True,False,False,0.008690838621322052,0.0,0.004345419310661026
dns_RD,0.09040499988037476,11,0.0,12,0,backdoor,False,False,False,0.006466261663722056,0.0,0.003233130831861028
proto,0.08334045939125007,12,0.0017727208083161416,10,1,ddos,False,True,False,0.02780485979369569,0.009294229219434244,0.018549544506564968
service,0.10106250264757002,11,0.00017988669903470366,13,1,ddos,False,False,False,0.033717461327201534,0.0009431311498757755,0.017330296238538656
duration,1.0000703110536024,7,0.08270712246720373,2,1,ddos,True,True,True,0.33365324580395217,0.4336266323968844,0.38363993910041827
src_bytes,0.4806444658378722,8,0.03689661943004572,4,1,ddos,True,True,True,0.1603573112130086,0.1934459373390059,0.17690162427600725
dst_bytes,1.299863480540233,4,0.02298240794280353,5,1,ddos,True,True,True,0.4336731773662514,0.12049487230753417,0.27708402483689276
conn_state,1.8690996670719466,2,0.1907334934896355,1,1,ddos,True,True,True,0.6235873255677675,1.0,0.8117936627838838
src_pkts,0.23616729768677733,9,0.0033863042760748476,8,1,ddos,True,True,True,0.07879244544608624,0.01775411446683778,0.04827327995646201
src_ip_bytes,1.3650432930259675,3,0.013391402363582694,7,1,ddos,True,True,True,0.45541910438396954,0.0702100198479843,0.2628145621159769
dst_pkts,0.10893134138561983,10,0.0005631339232875287,11,1,ddos,True,False,False,0.03634274032672727,0.0029524647873034925,0.019647602557015382
dst_ip_bytes,2.9973342793171067,1,0.049404893910200795,3,1,ddos,True,True,True,1.0,0.25902579041727386,0.629512895208637
dns_query,1.1049965933174763,6,0.018956584779853645,6,1,ddos,True,True,True,0.368659779105196,0.09938781297939027,0.23402379604229312
dns_rcode,1.1955894371627942,5,0.002091644674219917,9,1,ddos,True,True,True,0.39888425038637654,0.010966320785885345,0.20492528558613093
dns_AA,0.02978531895612471,14,0.00010582355955106593,14,1,ddos,False,False,False,0.009937269647118174,0.0005548242084540668,0.00524604692778612
dns_RD,0.08162618176148259,13,0.0004362315478841916,12,1,ddos,False,False,False,0.02723292571160257,0.0022871260831171035,0.014760025897359837
proto,0.016468830239067724,14,0.0004806425233854439,11,2,dos,False,False,False,0.003332891764752638,0.0009265931310021767,0.0021297424478774075
service,0.07126623514848512,11,0.0006716198914310523,10,2,dos,False,True,False,0.014422557326983344,0.001294763463001758,0.00785866039499255
duration,1.6553691001763167,3,0.009507098518231038,4,2,dos,True,True,True,0.3350065524699919,0.01832799170723694,0.1766672720886144
src_bytes,1.2123278697857978,5,0.007055264128192795,5,2,dos,True,True,True,0.24534575405386677,0.013601291938430862,0.1294735229961488
dst_bytes,0.162447038374119,8,0.0007259270150946628,9,2,dos,True,True,True,0.0328753401757213,0.001399457919490439,0.01713739904760587
conn_state,4.574325583625039,2,0.3311360593415846,2,2,dos,True,True,True,0.9257325411488506,0.6383713114933551,0.7820519263211029
src_pkts,1.2912228478635217,4,0.018499711948835283,3,2,dos,True,True,True,0.2613121839033781,0.035664147850611914,0.148488165876995
src_ip_bytes,4.941303649052046,1,0.5187201451251798,1,2,dos,True,True,True,1.0,1.0,1.0
dst_pkts,0.12367472159529573,9,0.0027248973098690453,7,2,dos,True,True,True,0.02502876373910392,0.005253116416389537,0.015140940077746728
dst_ip_bytes,0.25115908866268405,7,0.002581308238510749,8,2,dos,True,True,True,0.05082850731322029,0.004976302275454939,0.027902404794337615
dns_query,0.2863611383903911,6,0.004713549032826503,6,2,dos,True,True,True,0.05795254830075611,0.009086882545672114,0.03351971542321411
dns_rcode,0.022063414918885645,13,0.0001416377641251687,13,2,dos,False,False,False,0.004465099999089988,0.0002730523683266399,0.002369076183708314
dns_AA,0.08703739142270055,10,-2.6188322904840965e-05,14,2,dos,True,False,False,0.01761425680435527,0.0,0.008807128402177636
dns_RD,0.052141362868128455,12,0.00023251635120837832,12,2,dos,False,False,False,0.010552147079269537,0.0004482500889805744,0.005500198584125055
proto,0.04081812216116844,11,0.0018529096651664911,10,3,injection,False,True,False,0.009721554117082136,0.009281450846771806,0.00950150248192697
