feature,split_importance,gain_importance
src_ip_bytes,11035,1665514.8646560095
conn_state,5629,1005501.248680704
src_bytes,5206,807430.2467320517
src_pkts,4864,803285.5180368191
duration,15330,509285.0088254412
dst_ip_bytes,6538,501159.2730616508
proto,1429,315262.50685574324
dst_bytes,5353,302476.3223557855
dst_pkts,3544,214372.59695158302
dns_rejected,261,99359.53571177761
dns_query,4493,92557.82363304964
service,1513,51976.79991222872
dns_rcode,368,32836.466747839004
dns_RA,344,20356.44271349568
dns_AA,335,9363.687095672598
missed_bytes,659,5499.518366598127
http_status_code,205,4337.046340767294
dns_RD,280,4244.095195778176
dns_qtype,534,2488.300240881741
dns_qclass,58,1313.4452314598789
http_response_body_len,79,1004.2712295427918
http_request_body_len,0,0.0
