class_id,samples,total_inference_time_sec,avg_inference_time_ms
0,3000,0.09093156829476357,0.03031052276492119
1,3000,0.11621303111314774,0.03873767703771591
2,3000,0.09618939645588398,0.03206313215196133
3,3000,0.11849098093807697,0.03949699364602566
4,157,0.0075551606714725494,0.048122042493455724
5,7500,0.24520078301429749,0.03269343773523967
6,3000,0.11548964120447636,0.03849654706815878
7,3000,0.09660462476313114,0.03220154158771038
8,3000,0.09796172939240932,0.03265390979746978
9,3000,0.10562392883002758,0.03520797627667586
