feature,split_importance,gain_importance
src_ip_bytes,10854,1771636.2422102063
conn_state,5513,979887.0307008951
src_bytes,5314,866295.5364311668
src_pkts,4930,735669.9930637574
dst_ip_bytes,6646,525160.4813094176
duration,14171,445120.99332820944
dst_bytes,5420,331035.7115541475
proto,1342,292344.1375361611
dst_pkts,3687,185257.62091978514
service,1485,100989.88487071446
dns_query,4520,96562.47453739024
dns_rejected,268,65324.27288491791
dns_RA,429,21237.431825197116
dns_rcode,383,12430.031241692603
dns_AA,390,11566.860859354716
dns_RD,313,8862.977353599284
