feature,mean_classwise_cpf,max_classwise_cpf,positive_class_count,rank
src_ip_bytes,0.2794417288290657,0.7756530241048564,10,1
conn_state,0.1566642317400602,0.4742619047663708,10,2
duration,0.11581142691196773,0.37080278242533904,10,3
src_bytes,0.08953376202170593,0.3353677440152067,10,4
src_pkts,0.06015761818041746,0.14399235030543697,10,5
dns_query,0.06005230810289466,0.4308182405404922,9,6
dst_ip_bytes,0.0439442665994006,0.2322493707217505,10,7
proto,0.027489136822005163,0.10020427239746503,10,8
service,0.013049774573662114,0.11969060606477484,10,9
dst_bytes,0.012634547984539479,0.07323762774875124,9,10
dst_pkts,0.009385871261691785,0.049306716130313274,9,11
dns_rejected,0.0030460127128736024,0.027344527848995704,9,12
missed_bytes,0.002231015342189251,0.02110557566399416,8,13
dns_AA,0.002217821001270366,0.01597367806160539,9,14
dns_rcode,0.0014661386798268694,0.010367699567666255,10,15
dns_RA,0.0010988475723579549,0.009503560610238316,8,16
dns_qtype,0.0008942518547321776,0.00677945089002685,7,17
dns_qclass,0.00042690156718655275,0.004126187840137718,5,18
dns_RD,0.00037718435367010137,0.002205505271436947,9,19
http_status_code,0.0001828123666082382,0.0004890558446169147,7,20
http_request_body_len,0.0,0.0,0,21
http_response_body_len,0.0,0.0,0,22
