feature,macro_sage_importance,sage_repeat_std,rank_sage
src_ip_bytes,1.8713826170907197,0.0,1
conn_state,1.1047178569124187,0.0,2
duration,0.6875069339477711,0.0,3
src_bytes,0.4689862841891042,0.0,4
dst_ip_bytes,0.4424931479868219,0.0,5
src_pkts,0.40072474751155196,0.0,6
proto,0.27716086224806563,0.0,7
dst_pkts,0.27428341559148867,0.0,8
dns_query,0.24735241766763288,0.0,9
dst_bytes,0.23438757211623332,0.0,10
service,0.13102066294482873,0.0,11
dns_RA,0.05796051256617096,0.0,12
dns_rejected,0.047813118971222,0.0,13
dns_rcode,0.0281569947043466,0.0,14
dns_AA,0.020341558635577704,0.0,15
dns_RD,0.01843789225188463,0.0,16
dns_qtype,0.010294338612702562,0.0,17
dns_qclass,0.008566260404833777,0.0,18
missed_bytes,0.002249614825967952,0.0,19
http_status_code,0.0019386120802976445,0.0,20
http_response_body_len,0.00015391024430114027,0.0,21
http_request_body_len,0.0,0.0,22
