feature,mean_abs_shap,rank
src_ip_bytes,0.9570476361127844,1
conn_state,0.7696318656427905,2
duration,0.5740606610806619,3
src_pkts,0.42436890353881984,4
src_bytes,0.3170333062320366,5
dst_ip_bytes,0.28402769196376804,6
dns_query,0.26046283992284724,7
dst_pkts,0.23255185304821,8
proto,0.17359231616070664,9
dst_bytes,0.157325978002224,10
service,0.12067119071985588,11
dns_RA,0.06060219655875074,12
dns_AA,0.04183914323150141,13
dns_qtype,0.02928480347874898,14
dns_rcode,0.028970926855914163,15
dns_rejected,0.027026116192596854,16
dns_RD,0.024978148611003562,17
missed_bytes,0.008390143447145783,18
dns_qclass,0.00578867367001766,19
http_status_code,0.0012982244854720568,20
http_response_body_len,0.00023330248396928198,21
http_request_body_len,0.0,22
