feature,selection_sources,protected_classes,macro_sage_importance,rank_sage
src_ip_bytes,macro_sage_core;shap_intersection_cpf,backdoor;ddos;dos;injection;mitm;normal;password;ransomware;scanning;xss,1.7985686875346651,1
conn_state,macro_sage_core;shap_intersection_cpf,backdoor;ddos;dos;injection;normal;password;ransomware;scanning;xss,1.001224450605037,2
duration,macro_sage_core;shap_intersection_cpf,backdoor;ddos;dos;injection;mitm;normal;password;ransomware;scanning;xss,0.6406316954085823,3
dst_ip_bytes,macro_sage_core;shap_intersection_cpf,backdoor;ddos;dos;injection;mitm;normal;password;ransomware;scanning;xss,0.47135441250270754,4
src_bytes,macro_sage_core;shap_intersection_cpf,backdoor;dos;injection;mitm;password;scanning;xss,0.45461939666942736,5
src_pkts,macro_sage_core;shap_intersection_cpf,backdoor;ddos;dos;injection;mitm;normal;password;ransomware;xss,0.34503084440975285,6
dst_pkts,macro_sage_core;shap_intersection_cpf,backdoor;dos;injection;mitm;normal;password;ransomware;scanning;xss,0.3083056293037751,7
proto,macro_sage_core;shap_intersection_cpf,injection;normal;ransomware;scanning,0.271515496702724,8
dns_query,macro_sage_core;shap_intersection_cpf,ddos;dos;injection;mitm;normal;password;scanning;xss,0.23708077438241887,9
dst_bytes,macro_sage_core;shap_intersection_cpf,backdoor;ddos;dos;injection;mitm;scanning;xss,0.21373238035545533,10
service,macro_sage_core;shap_intersection_cpf,backdoor;mitm;password,0.1254928627291434,11
dns_RA,macro_sage_core,,0.0505208623989879,12
dns_rejected,macro_sage_floor,,0.04021014055472282,13
dns_AA,macro_sage_floor,,0.0235338103312088,14
dns_rcode,macro_sage_floor,,0.023254389568787247,15
dns_RD,macro_sage_floor,,0.018697463973080343,16
